Event,Fight,Fighter,Weight Class,Winner,KD,Sig. Str.,Total Str.,TD,Sub. Att,Reversal,Control Time,Head,Body,Leg,Distance,Clinch,Ground,Method,Fight_lenght,Rounds,Format,Referee,date,win,form_last_5,Control Time Sec,Total_fight_length_sec,landed_sig_str,atmp_sig_str,landed_total_str,atmp_total_str,landed_td,atmp_td,landed_head,atmp_head,landed_body,atmp_body,landed_leg,atmp_leg,landed_distance,atmp_distance,landed_clinch,atmp_clinch,landed_ground,atmp_ground,sig_str_lpm,total_str_lpm,head_lpm,body_lpm,leg_lpm,distance_lpm,clinch_lpm,ground_lpm,sig_str_acc,total_str_acc,td_acc,head_acc,body_acc,leg_acc,distance_acc,clinch_acc,ground_acc,KD_rolling_mean,Sub. Att_rolling_mean,Reversal_rolling_mean,Control Time Sec_rolling_mean,Total_fight_length_sec_rolling_mean,landed_sig_str_rolling_mean,atmp_sig_str_rolling_mean,landed_total_str_rolling_mean,atmp_total_str_rolling_mean,landed_td_rolling_mean,atmp_td_rolling_mean,landed_head_rolling_mean,atmp_head_rolling_mean,landed_body_rolling_mean,atmp_body_rolling_mean,landed_leg_rolling_mean,atmp_leg_rolling_mean,landed_distance_rolling_mean,atmp_distance_rolling_mean,landed_clinch_rolling_mean,atmp_clinch_rolling_mean,landed_ground_rolling_mean,atmp_ground_rolling_mean,sig_str_lpm_rolling_mean,total_str_lpm_rolling_mean,head_lpm_rolling_mean,body_lpm_rolling_mean,leg_lpm_rolling_mean,distance_lpm_rolling_mean,clinch_lpm_rolling_mean,ground_lpm_rolling_mean
UFC Fight Night: Till vs. Masvidal,Mike Grundy - Nad Narimani,Mike Grundy,Featherweight,W,1,33 of 56,36 of 59,1 of 3,0,0,1:03,32 of 54,1 of 2,0 of 0,20 of 40,9 of 11,4 of 5,KO/TKO,"Time:
        
        4:42","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Daniel Movahedi,3,1,1.0,63,282,33,56,36,59,1,3,32,54,1,2,0,0,20,40,9,11,4,5,7.0212765957446805,7.659574468085106,6.808510638297872,0.2127659574468085,0.0,4.25531914893617,1.9148936170212765,0.851063829787234,0.5892857142857143,0.6101694915254238,0.3333333333333333,0.5925925925925926,0.5,0.0,0.5,0.8181818181818182,0.8,0.25,0.25,0.0,101.5,234.75,21.25,47.0,23.75,51.75,2.75,9.75,15.5,38.25,5.75,8.5,0.0,0.25,16.5,41.5,3.5,4.0,1.25,1.5,4.35531914893617,4.864893617021276,3.202127659574468,1.1531914893617021,0.0,3.3638297872340424,0.7287234042553191,0.26276595744680853
UFC Fight Night: Till vs. Masvidal,Mike Grundy - Nad Narimani,Nad Narimani,Featherweight,L,0,22 of 95,22 of 95,0 of 1,0,0,0:00,16 of 82,1 of 5,5 of 8,20 of 91,2 of 4,0 of 0,KO/TKO,"Time:
        
        4:42","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Daniel Movahedi,1,0,0.0,0,282,22,95,22,95,0,1,16,82,1,5,5,8,20,91,2,4,0,0,4.680851063829787,4.680851063829787,3.404255319148936,0.2127659574468085,1.0638297872340425,4.25531914893617,0.425531914893617,0.0,0.23157894736842105,0.23157894736842105,0.0,0.1951219512195122,0.2,0.625,0.21978021978021978,0.5,0.0,0.0,0.0,0.0,4.5,291.0,26.5,85.5,39.5,100.0,0.0,0.5,16.5,70.5,6.5,10.0,3.5,5.0,24.0,82.0,2.0,3.0,0.5,0.5,5.440425531914894,8.040425531914893,3.402127659574468,1.3063829787234043,0.7319148936170212,4.927659574468085,0.41276595744680855,0.1
UFC Fight Night: Till vs. Masvidal,Nathaniel Wood - Jose Quinonez,Nathaniel Wood,Bantamweight,W,0,30 of 81,39 of 91,2 of 3,2,1,1:12,14 of 53,4 of 9,12 of 19,27 of 76,3 of 5,0 of 0,Submission,"Time:
        
        2:46","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Rich Mitchell,9,1,3.0,72,166,30,81,39,91,2,3,14,53,4,9,12,19,27,76,3,5,0,0,10.843373493975903,14.096385542168674,5.0602409638554215,1.4457831325301205,4.337349397590361,9.759036144578314,1.0843373493975903,0.0,0.37037037037037035,0.42857142857142855,0.6666666666666666,0.2641509433962264,0.4444444444444444,0.631578947368421,0.35526315789473684,0.6,0.0,0.0,0.4,0.2,50.8,216.4,88.0,178.4,96.6,189.2,1.0,2.2,45.8,121.4,7.4,16.2,34.8,40.8,82.2,170.2,4.6,6.4,1.2,1.8,51.22867469879518,68.85927710843373,26.652048192771087,5.869156626506024,18.707469879518072,45.71180722891566,4.566867469879518,0.95
UFC Fight Night: Till vs. Masvidal,Nathaniel Wood - Jose Quinonez,Jose Quinonez,Bantamweight,L,0,34 of 60,35 of 61,1 of 4,0,0,1:48,7 of 28,5 of 6,22 of 26,33 of 59,1 of 1,0 of 0,Submission,"Time:
        
        2:46","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Rich Mitchell,3,0,1.0,108,166,34,60,35,61,1,4,7,28,5,6,22,26,33,59,1,1,0,0,12.289156626506024,12.650602409638555,2.5301204819277108,1.8072289156626506,7.951807228915663,11.927710843373495,0.3614457831325301,0.0,0.5666666666666667,0.5737704918032787,0.25,0.25,0.8333333333333334,0.8461538461538461,0.559322033898305,1.0,0.0,0.25,0.0,0.0,98.0,180.75,34.25,73.75,38.25,78.75,1.25,3.0,14.0,45.25,6.25,10.75,14.0,17.75,27.5,64.75,1.25,2.5,5.5,6.5,10.850066934404284,11.93487282463186,3.876974564926372,2.185140562248996,4.787951807228916,9.093038821954485,0.534805890227577,1.2222222222222223
UFC Fight Night: Till vs. Masvidal,Danny Roberts - Claudio Silva,Danny Roberts,Welterweight,L,0,26 of 45,29 of 48,0 of 0,0,3,3:11,24 of 43,2 of 2,0 of 0,6 of 18,2 of 2,18 of 25,Submission,"Time:
        
        2:37","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kevin Sataki,6,0,2.0,191,157,26,45,29,48,0,0,24,43,2,2,0,0,6,18,2,2,18,25,9.936305732484076,11.0828025477707,9.171974522292993,0.7643312101910827,0.0,2.2929936305732483,0.7643312101910827,6.8789808917197455,0.5777777777777777,0.6041666666666666,0.0,0.5581395348837209,1.0,0.0,0.3333333333333333,1.0,0.72,0.2,0.0,0.6,105.4,231.6,27.0,64.4,31.8,70.0,0.4,2.2,13.2,48.4,9.4,11.0,4.4,5.0,13.4,45.8,9.8,13.2,3.8,5.4,6.521764293550028,7.595145289260415,3.5225581697647215,1.966743793058625,1.0324623307266831,3.057591669086231,2.048376446119849,1.4157961783439492
UFC Fight Night: Till vs. Masvidal,Danny Roberts - Claudio Silva,Claudio Silva,Welterweight,W,0,19 of 38,35 of 56,3 of 5,4,0,6:13,10 of 28,2 of 3,7 of 7,11 of 26,1 of 1,7 of 11,Submission,"Time:
        
        2:37","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kevin Sataki,4,1,2.0,373,157,19,38,35,56,3,5,10,28,2,3,7,7,11,26,1,1,7,11,7.261146496815287,13.375796178343949,3.821656050955414,0.7643312101910827,2.6751592356687897,4.203821656050955,0.38216560509554137,2.6751592356687897,0.5,0.625,0.6,0.35714285714285715,0.6666666666666666,1.0,0.4230769230769231,1.0,0.6363636363636364,0.0,1.0,0.0,212.0,242.4,29.4,73.2,52.0,99.0,2.2,8.0,15.4,49.8,6.2,14.4,7.8,9.0,22.6,64.8,0.8,1.4,6.0,7.0,7.769648654201767,12.872578590507498,4.379815081158825,1.499963016231765,1.8898705568111773,5.220119169919869,0.23385247585781793,2.3156770084240805
UFC Fight Night: Till vs. Masvidal,Volkan Oezdemir - Dominick Reyes,Volkan Oezdemir,Heavyweight,L,0,35 of 99,48 of 112,1 of 7,0,0,1:33,24 of 81,4 of 6,7 of 12,30 of 91,5 of 7,0 of 1,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Leon Roberts,9,0,2.0,93,300,35,99,48,112,1,7,24,81,4,6,7,12,30,91,5,7,0,1,7.0,9.6,4.8,0.8,1.4,6.0,1.0,0.0,0.35353535353535354,0.42857142857142855,0.14285714285714285,0.2962962962962963,0.6666666666666666,0.5833333333333334,0.32967032967032966,0.7142857142857143,0.0,0.4,0.0,0.0,33.4,244.0,50.2,114.8,71.6,136.8,0.2,1.8,29.8,88.6,7.0,11.2,13.4,15.0,41.2,101.4,8.0,11.8,1.0,1.6,18.714764666014005,23.729310942089015,12.295278258905038,2.061778748399729,4.3577076587092405,16.841997138338733,1.6513653136531363,0.22140221402214016
UFC Fight Night: Till vs. Masvidal,Volkan Oezdemir - Dominick Reyes,Dominick Reyes,Heavyweight,W,0,44 of 121,47 of 124,0 of 2,0,0,0:00,16 of 81,16 of 26,12 of 14,41 of 117,3 of 4,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Leon Roberts,8,1,2.0,0,300,44,121,47,124,0,2,16,81,16,26,12,14,41,117,3,4,0,0,8.8,9.4,3.2,3.2,2.4,8.2,0.6,0.0,0.36363636363636365,0.3790322580645161,0.0,0.19753086419753085,0.6153846153846154,0.8571428571428571,0.3504273504273504,0.75,0.0,0.2,0.2,0.0,7.6,249.6,50.4,110.0,52.8,112.8,0.2,0.6,22.4,75.2,17.4,22.0,10.6,12.8,46.0,104.8,2.6,2.8,1.8,2.4,11.055491235145412,11.63504441665189,5.226615280081473,3.5837594957168255,2.245116459347112,9.688804116366764,0.6776193741653734,0.6890677446132747
UFC Fight Night: Till vs. Masvidal,Molly McCann - Priscila Cachoeira,Molly McCann,Women's Flyweight,W,0,107 of 197,110 of 200,2 of 11,2,1,1:14,81 of 167,13 of 16,13 of 14,90 of 169,12 of 21,5 of 7,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Rich Mitchell,12,1,3.0,74,300,107,197,110,200,2,11,81,167,13,16,13,14,90,169,12,21,5,7,21.4,22.0,16.2,2.6,2.6,18.0,2.4,1.0,0.5431472081218274,0.55,0.18181818181818182,0.48502994011976047,0.8125,0.9285714285714286,0.5325443786982249,0.5714285714285714,0.7142857142857143,0.0,0.8,0.2,88.6,300.0,82.6,160.2,96.6,174.8,1.8,6.2,55.0,126.4,13.0,16.6,14.6,17.2,64.6,132.8,8.0,12.2,10.0,15.2,16.52,19.32,11.0,2.6,2.92,12.919999999999998,1.6,2.0
UFC Fight Night: Till vs. Masvidal,Molly McCann - Priscila Cachoeira,Priscila Cachoeira,Women's Flyweight,L,0,75 of 234,77 of 238,0 of 0,0,0,1:06,54 of 206,15 of 21,6 of 7,68 of 222,7 of 12,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Rich Mitchell,10,0,2.0,66,300,75,234,77,238,0,0,54,206,15,21,6,7,68,222,7,12,0,0,15.0,15.4,10.8,3.0,1.2,13.6,1.4,0.0,0.32051282051282054,0.3235294117647059,0.0,0.2621359223300971,0.7142857142857143,0.8571428571428571,0.3063063063063063,0.5833333333333334,0.0,0.2,0.0,0.4,18.2,246.0,41.6,98.8,44.6,103.0,0.0,0.4,29.8,82.0,8.8,13.0,3.0,3.8,34.6,88.6,6.2,9.2,0.8,1.0,10.447211667758507,11.061087473709616,8.080624762955557,1.7665869048029514,0.6,9.032098748405337,1.2525049132848327,0.16260800606833778
UFC Fight Night: Till vs. Masvidal,Arnold Allen - Jordan Rinaldi,Arnold Allen,Featherweight,W,1,37 of 111,41 of 117,0 of 0,0,0,0:59,25 of 90,10 of 13,2 of 8,35 of 102,0 of 1,2 of 8,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Leon Roberts,8,1,5.0,59,300,37,111,41,117,0,0,25,90,10,13,2,8,35,102,0,1,2,8,7.4,8.2,5.0,2.0,0.4,7.0,0.0,0.4,0.3333333333333333,0.3504273504273504,0.0,0.2777777777777778,0.7692307692307693,0.25,0.3431372549019608,0.0,0.25,0.4,0.0,0.0,101.0,270.6,54.4,115.4,57.4,119.6,0.6,1.6,40.6,97.6,9.4,11.0,4.4,6.8,52.0,109.4,1.8,3.8,0.6,2.2,12.763137254901961,13.40156862745098,9.772549019607842,1.8800000000000001,1.1105882352941177,12.167843137254902,0.4752941176470588,0.12000000000000002
UFC Fight Night: Till vs. Masvidal,Arnold Allen - Jordan Rinaldi,Jordan Rinaldi,Featherweight,L,0,30 of 104,30 of 105,0 of 3,0,0,0:00,5 of 61,6 of 13,19 of 30,30 of 103,0 of 1,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Leon Roberts,0,0,0.0,0,300,30,104,30,105,0,3,5,61,6,13,19,30,30,103,0,1,0,0,6.0,6.0,1.0,1.2,3.8,6.0,0.0,0.0,0.28846153846153844,0.2857142857142857,0.0,0.08196721311475409,0.46153846153846156,0.6333333333333333,0.2912621359223301,0.0,0.0,0.0,0.0,0.0,0.0,300.0,30.0,104.0,30.0,105.0,0.0,3.0,5.0,61.0,6.0,13.0,19.0,30.0,30.0,103.0,0.0,1.0,0.0,0.0,6.0,6.0,1.0,1.2,3.8,6.0,0.0,0.0
UFC Fight Night: Till vs. Masvidal,Darren Till - Jorge Masvidal,Darren Till,Welterweight,L,1,21 of 43,22 of 44,1 of 1,0,0,0:55,17 of 39,3 of 3,1 of 1,20 of 39,1 of 2,0 of 2,KO/TKO,"Time:
        
        3:05","Round:
        
        2","Time format:
        
        5 Rnd (5-5-5-5-5)",Marc Goddard,4,0,1.0,55,185,21,43,22,44,1,1,17,39,3,3,1,1,20,39,1,2,0,2,6.8108108108108105,7.135135135135135,5.513513513513513,0.9729729729729729,0.3243243243243243,6.486486486486486,0.3243243243243243,0.0,0.4883720930232558,0.5,1.0,0.4358974358974359,1.0,1.0,0.5128205128205128,0.5,0.0,0.2,0.0,0.2,31.0,216.2,31.8,65.8,39.0,73.6,0.6,0.8,21.0,53.6,5.2,6.0,5.6,6.2,26.6,57.8,3.6,5.2,1.6,2.8,9.364713940380714,11.703281466807459,6.199971026887398,1.7181168972838328,1.4466260162094842,7.746552336736386,1.1300634441351263,0.4880981595092024
UFC Fight Night: Till vs. Masvidal,Darren Till - Jorge Masvidal,Jorge Masvidal,Welterweight,W,1,35 of 72,41 of 79,1 of 2,0,0,0:47,18 of 51,10 of 12,7 of 9,31 of 65,3 of 6,1 of 1,KO/TKO,"Time:
        
        3:05","Round:
        
        2","Time format:
        
        5 Rnd (5-5-5-5-5)",Marc Goddard,6,1,3.0,47,185,35,72,41,79,1,2,18,51,10,12,7,9,31,65,3,6,1,1,11.35135135135135,13.297297297297296,5.837837837837838,3.243243243243243,2.27027027027027,10.054054054054054,0.9729729729729729,0.3243243243243243,0.4861111111111111,0.5189873417721519,0.5,0.35294117647058826,0.8333333333333334,0.7777777777777778,0.47692307692307695,0.5,1.0,0.8,0.0,0.0,93.0,170.4,49.4,86.2,60.4,100.4,0.4,0.6,27.0,58.4,13.8,18.0,8.6,9.8,29.8,59.0,10.0,13.0,9.6,14.2,22.59027027027027,28.778169136878812,14.923696599825629,3.4692938099389714,4.197279860505667,13.236617262423712,2.0745945945945947,7.279058413251962
UFC Fight Night: Till vs. Masvidal,Danny Henry - Dan Ige,Danny Henry,Featherweight,L,0,4 of 7,4 of 7,0 of 0,0,0,0:00,2 of 5,1 of 1,1 of 1,4 of 7,0 of 0,0 of 0,Submission,"Time:
        
        1:17","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Marc Goddard,1,0,0.0,0,77,4,7,4,7,0,0,2,5,1,1,1,1,4,7,0,0,0,0,3.1168831168831166,3.1168831168831166,1.5584415584415583,0.7792207792207791,0.7792207792207791,3.1168831168831166,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.4,1.0,1.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,136.0,5.0,11.5,5.0,11.5,0.0,0.0,1.5,5.5,2.0,4.0,1.5,2.0,5.0,11.5,0.0,0.0,0.0,0.0,2.4815184815184814,2.4815184815184814,0.933066933066933,0.8511488511488512,0.6973026973026972,2.4815184815184814,0.0,0.0
UFC Fight Night: Till vs. Masvidal,Danny Henry - Dan Ige,Dan Ige,Featherweight,W,1,10 of 17,10 of 17,1 of 1,1,0,0:31,7 of 14,3 of 3,0 of 0,4 of 8,0 of 0,6 of 9,Submission,"Time:
        
        1:17","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Marc Goddard,16,1,4.0,31,77,10,17,10,17,1,1,7,14,3,3,0,0,4,8,0,0,6,9,7.792207792207791,7.792207792207791,5.454545454545454,2.3376623376623376,0.0,3.1168831168831166,0.0,4.675324675324675,0.5882352941176471,0.5882352941176471,1.0,0.5,1.0,0.0,0.5,0.0,0.6666666666666666,0.4,0.2,0.0,92.2,255.4,57.4,122.4,70.6,138.0,0.8,4.0,35.4,93.6,15.4,21.2,6.6,7.6,45.0,106.0,5.0,7.0,7.4,9.4,12.638441558441558,15.278441558441557,7.890909090909092,3.4275324675324677,1.3199999999999998,9.463376623376622,1.0,2.175064935064935
UFC Fight Night: Till vs. Masvidal,Leon Edwards - Gunnar Nelson,Leon Edwards,Welterweight,W,1,31 of 49,47 of 69,2 of 3,0,0,3:29,17 of 30,13 of 17,1 of 2,4 of 16,16 of 19,11 of 14,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kevin Sataki,7,1,5.0,209,300,31,49,47,69,2,3,17,30,13,17,1,2,4,16,16,19,11,14,6.2,9.4,3.4,2.6,0.2,0.8,3.2,2.2,0.6326530612244898,0.6811594202898551,0.6666666666666666,0.5666666666666667,0.7647058823529411,0.5,0.25,0.8421052631578947,0.7857142857142857,0.4,0.2,0.0,224.2,288.8,75.0,126.4,86.0,140.2,2.0,4.8,38.2,84.6,18.2,22.4,18.6,19.4,60.4,108.2,9.6,11.4,5.0,6.8,15.504918032786886,17.787540983606554,7.823606557377049,3.841967213114754,3.839344262295082,12.465573770491805,1.9842622950819675,1.0550819672131149
UFC Fight Night: Till vs. Masvidal,Leon Edwards - Gunnar Nelson,Gunnar Nelson,Welterweight,L,0,9 of 18,27 of 38,3 of 4,0,0,4:23,3 of 10,4 of 5,2 of 3,4 of 12,5 of 6,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kevin Sataki,4,0,2.0,263,300,9,18,27,38,3,4,3,10,4,5,2,3,4,12,5,6,0,0,1.8,5.4,0.6,0.8,0.4,0.8,1.0,0.0,0.5,0.7105263157894737,0.75,0.3,0.8,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.0,0.0,0.6,0.0,360.4,298.2,19.6,28.8,48.6,62.8,2.0,4.2,13.2,21.6,4.2,4.6,2.2,2.6,7.0,14.6,3.4,4.2,9.2,10.0,3.932371134020619,9.744742268041238,2.649896907216495,0.8424742268041238,0.43999999999999995,1.4012371134020618,0.6824742268041237,1.848659793814433
UFC Fight Night: Till vs. Masvidal,Nicolae Negumereanu - Saparbeg Safarov,Nicolae Negumereanu,Heavyweight,L,0,11 of 27,20 of 36,0 of 0,0,0,0:00,5 of 17,3 of 7,3 of 3,7 of 19,4 of 8,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Leon Roberts,5,0,4.0,0,300,11,27,20,36,0,0,5,17,3,7,3,3,7,19,4,8,0,0,2.2,4.0,1.0,0.6,0.6,1.4,0.8,0.0,0.4074074074074074,0.5555555555555556,0.0,0.29411764705882354,0.42857142857142855,1.0,0.3684210526315789,0.5,0.0,0.0,0.0,0.0,152.2,238.2,41.6,99.2,56.6,116.2,0.8,2.8,31.6,85.4,3.8,7.0,6.2,6.8,30.6,83.6,9.8,13.2,1.2,2.4,10.405547128927411,13.748645720476706,7.94964247020585,0.8743661971830985,1.5815384615384616,7.292697724810401,2.482296858071506,0.6305525460455038
UFC Fight Night: Till vs. Masvidal,Nicolae Negumereanu - Saparbeg Safarov,Saparbeg Safarov,Heavyweight,W,0,70 of 86,139 of 156,3 of 5,0,0,10:45,60 of 74,2 of 2,8 of 10,16 of 24,4 of 6,50 of 56,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Leon Roberts,1,1,1.0,645,300,70,86,139,156,3,5,60,74,2,2,8,10,16,24,4,6,50,56,14.0,27.8,12.0,0.4,1.6,3.2,0.8,10.0,0.813953488372093,0.8910256410256411,0.6,0.8108108108108109,1.0,0.8,0.6666666666666666,0.6666666666666666,0.8928571428571429,0.0,0.0,0.0,322.5,239.0,37.5,48.0,73.0,84.0,1.5,2.5,31.0,40.5,1.5,1.5,5.0,6.0,10.5,17.0,2.0,3.0,25.0,28.0,7.842696629213483,15.079775280898877,6.337078651685394,0.36853932584269666,1.1370786516853932,2.4426966292134833,0.4,5.0
UFC Fight Night: Lewis vs. Dos Santos,Tim Means - Niko Price,Tim Means,Welterweight,L,0,31 of 48,35 of 54,1 of 1,0,0,1:51,27 of 44,3 of 3,1 of 1,24 of 39,1 of 2,6 of 7,KO/TKO,"Time:
        
        4:50","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Rob Hinds,11,0,3.0,111,290,31,48,35,54,1,1,27,44,3,3,1,1,24,39,1,2,6,7,6.413793103448277,7.241379310344828,5.586206896551724,0.6206896551724138,0.20689655172413796,4.9655172413793105,0.20689655172413796,1.2413793103448276,0.6458333333333334,0.6481481481481481,1.0,0.6136363636363636,1.0,1.0,0.6153846153846154,0.5,0.8571428571428571,0.4,0.2,0.2,114.0,253.0,61.6,104.6,73.8,117.4,0.8,2.8,40.2,79.6,14.4,17.8,7.0,7.2,51.8,91.2,6.2,8.8,3.6,4.6,13.816875169718415,16.29834177818633,8.871223762790482,3.3553273377894266,1.5903240691385043,11.451776959329937,1.3132780445220429,1.051820165866434
UFC Fight Night: Lewis vs. Dos Santos,Tim Means - Niko Price,Niko Price,Welterweight,W,1,32 of 67,36 of 73,0 of 0,0,0,0:02,21 of 48,3 of 9,8 of 10,23 of 52,4 of 9,5 of 6,KO/TKO,"Time:
        
        4:50","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Rob Hinds,10,1,2.0,2,290,32,67,36,73,0,0,21,48,3,9,8,10,23,52,4,9,5,6,6.620689655172415,7.448275862068966,4.344827586206897,0.6206896551724138,1.6551724137931036,4.758620689655173,0.8275862068965518,1.0344827586206897,0.47761194029850745,0.4931506849315068,0.0,0.4375,0.3333333333333333,0.8,0.4423076923076923,0.4444444444444444,0.8333333333333334,0.6,0.2,0.2,68.8,214.0,54.4,123.4,71.4,143.2,0.2,1.8,33.4,94.0,7.8,14.2,13.2,15.2,44.0,106.2,5.6,10.0,4.8,7.2,14.578330007977623,19.153369364490736,9.234149815596707,2.0419329053845394,3.302247286996379,11.253843686063973,1.4760432825931178,1.848443039320534
UFC Fight Night: Lewis vs. Dos Santos,Alex Morono - Zak Ottow,Alex Morono,Welterweight,W,0,25 of 55,25 of 55,0 of 0,1,1,0:31,22 of 50,3 of 5,0 of 0,10 of 28,0 of 0,15 of 27,KO/TKO,"Time:
        
        3:34","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Rob Hinds,15,1,3.0,31,214,25,55,25,55,0,0,22,50,3,5,0,0,10,28,0,0,15,27,7.009345794392523,7.009345794392523,6.16822429906542,0.8411214953271028,0.0,2.803738317757009,0.0,4.205607476635514,0.45454545454545453,0.45454545454545453,0.0,0.44,0.6,0.0,0.35714285714285715,0.0,0.5555555555555556,0.2,0.2,0.2,72.2,228.2,62.8,142.6,74.2,156.4,0.8,1.8,50.2,125.8,8.2,11.8,4.4,5.0,50.0,123.8,6.8,9.2,6.0,9.6,13.366313603322947,15.646313603322948,10.798089304257529,1.6882242990654206,0.8799999999999999,10.565192107995847,1.36,1.4411214953271028
UFC Fight Night: Lewis vs. Dos Santos,Alex Morono - Zak Ottow,Zak Ottow,Welterweight,L,0,10 of 31,10 of 31,1 of 1,0,0,0:06,6 of 20,2 of 7,2 of 4,10 of 31,0 of 0,0 of 0,KO/TKO,"Time:
        
        3:34","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Rob Hinds,0,0,0.0,6,214,10,31,10,31,1,1,6,20,2,7,2,4,10,31,0,0,0,0,2.803738317757009,2.803738317757009,1.6822429906542056,0.5607476635514018,0.5607476635514018,2.803738317757009,0.0,0.0,0.3225806451612903,0.3225806451612903,1.0,0.3,0.2857142857142857,0.5,0.3225806451612903,0.0,0.0,0.0,0.0,0.0,6.0,214.0,10.0,31.0,10.0,31.0,1.0,1.0,6.0,20.0,2.0,7.0,2.0,4.0,10.0,31.0,0.0,0.0,0.0,0.0,2.803738317757009,2.803738317757009,1.6822429906542056,0.5607476635514018,0.5607476635514018,2.803738317757009,0.0,0.0
UFC Fight Night: Lewis vs. Dos Santos,Beneil Dariush - Drew Dober,Beneil Dariush,Lightweight,W,0,37 of 65,41 of 69,2 of 5,1,0,5:17,22 of 47,12 of 14,3 of 4,17 of 39,10 of 14,10 of 12,Submission,"Time:
        
        4:41","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Rob Hinds,9,1,5.0,317,281,37,65,41,69,2,5,22,47,12,14,3,4,17,39,10,14,10,12,7.900355871886121,8.754448398576512,4.697508896797153,2.562277580071174,0.6405693950177935,3.6298932384341636,2.1352313167259784,2.1352313167259784,0.5692307692307692,0.5942028985507246,0.4,0.46808510638297873,0.8571428571428571,0.75,0.4358974358974359,0.7142857142857143,0.8333333333333334,0.4,0.8,0.0,236.6,208.2,32.0,56.6,36.4,62.4,2.0,5.4,22.8,46.2,6.2,7.2,3.0,3.2,24.8,45.6,3.6,5.0,3.6,6.0,9.292716533499762,11.041895694575546,6.461351054038047,1.9370338861050478,0.8943315933566665,7.672406292456263,0.8732639776983036,0.7470462633451957
UFC Fight Night: Lewis vs. Dos Santos,Beneil Dariush - Drew Dober,Drew Dober,Lightweight,L,0,31 of 58,38 of 66,0 of 0,0,0,1:01,17 of 44,9 of 9,5 of 5,17 of 43,14 of 15,0 of 0,Submission,"Time:
        
        4:41","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Rob Hinds,13,0,3.0,61,281,31,58,38,66,0,0,17,44,9,9,5,5,17,43,14,15,0,0,6.619217081850533,8.113879003558718,3.6298932384341636,1.9217081850533806,1.0676156583629892,3.6298932384341636,2.98932384341637,0.0,0.5344827586206896,0.5757575757575758,0.0,0.38636363636363635,1.0,1.0,0.3953488372093023,0.9333333333333333,0.0,0.4,0.0,0.0,19.0,156.0,26.2,55.2,29.4,58.8,0.0,0.0,19.4,46.2,3.8,5.4,3.0,3.6,18.0,45.8,4.6,5.4,3.6,4.0,10.417464039737832,11.57147833798785,8.261830275700097,1.1986023422653518,0.9570314217723809,6.226536104380356,1.2176617185768717,2.973266216780604
