Event,Fight,Fighter,Weight Class,Winner,KD,Sig. Str.,Total Str.,TD,Sub. Att,Reversal,Control Time,Head,Body,Leg,Distance,Clinch,Ground,Method,Fight_lenght,Rounds,Format,Referee
UFC Fight Night: Whittaker vs. De Ridder,Martin Buday - Marcus Buchecha,Martin Buday,Heavyweight Bout,W,0,41 of 86,92 of 150,0 of 0,0,2,2:51,30 of 74,5 of 5,6 of 7,36 of 74,4 of 6,1 of 6,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jim Perdios
UFC Fight Night: Whittaker vs. De Ridder,Martin Buday - Marcus Buchecha,Marcus Buchecha,Heavyweight Bout,L,0,24 of 60,80 of 140,1 of 11,0,1,5:05,14 of 46,10 of 14,0 of 0,16 of 50,6 of 8,2 of 2,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jim Perdios
UFC Fight Night: Whittaker vs. De Ridder,Asu Almabayev - Jose Ochoa,Asu Almabayev,Flyweight Bout,W,0,22 of 42,55 of 90,7 of 16,2,0,9:26,12 of 26,5 of 11,5 of 5,13 of 20,3 of 6,6 of 16,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC Fight Night: Whittaker vs. De Ridder,Asu Almabayev - Jose Ochoa,Jose Ochoa,Flyweight Bout,L,0,26 of 45,118 of 151,1 of 1,2,0,0:56,8 of 19,13 of 18,5 of 8,17 of 33,9 of 12,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC Fight Night: Whittaker vs. De Ridder,Bryce Mitchell - Said Nurmagomedov,Bryce Mitchell,Bantamweight Bout,W,0,13 of 20,39 of 51,3 of 9,0,1,9:44,3 of 6,7 of 11,3 of 3,5 of 11,8 of 9,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jim Perdios
UFC Fight Night: Whittaker vs. De Ridder,Bryce Mitchell - Said Nurmagomedov,Said Nurmagomedov,Bantamweight Bout,L,1,20 of 32,100 of 126,0 of 0,1,2,3:13,13 of 24,5 of 5,2 of 3,13 of 19,1 of 3,6 of 10,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jim Perdios
UFC Fight Night: Whittaker vs. De Ridder,Nikita Krylov - Bogdan Guskov,Nikita Krylov,Light Heavyweight Bout,L,0,16 of 34,16 of 34,0 of 0,0,0,0:00,6 of 20,3 of 5,7 of 9,16 of 34,0 of 0,0 of 0,KO/TKO,"Time:
        
        4:18","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Marc Goddard
UFC Fight Night: Whittaker vs. De Ridder,Nikita Krylov - Bogdan Guskov,Bogdan Guskov,Light Heavyweight Bout,W,1,23 of 43,28 of 48,0 of 0,0,0,0:17,20 of 40,1 of 1,2 of 2,11 of 26,0 of 0,12 of 17,KO/TKO,"Time:
        
        4:18","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Marc Goddard
UFC Fight Night: Whittaker vs. De Ridder,Amanda Ribas - Tabatha Ricci,Amanda Ribas,Women's Strawweight Bout,L,0,30 of 72,77 of 122,1 of 3,0,0,0:18,18 of 57,5 of 6,7 of 9,29 of 68,1 of 4,0 of 0,KO/TKO,"Time:
        
        2:59","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Daniel Movahedi
UFC Fight Night: Whittaker vs. De Ridder,Amanda Ribas - Tabatha Ricci,Tabatha Ricci,Women's Strawweight Bout,W,0,34 of 76,82 of 140,1 of 4,0,0,4:11,23 of 60,6 of 10,5 of 6,20 of 61,4 of 5,10 of 10,KO/TKO,"Time:
        
        2:59","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Daniel Movahedi
